Tabelle: 42121-0001
Produktion im Verarbeitenden Gewerbe: Deutschland, Monate,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Güteraggregate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monatliche Produktionserhebung im Verarb. Gewerbe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Januar;;;;;;;;;;;;;;;;;;;;;;Februar;;;;;;;;;;;;;;;;;;;;;;März;;;;;;;;;;;;;;;;;;;;;;April;;;;;;;;;;;;;;;;;;;;;;Mai;;;;;;;;;;;;;;;;;;;;;;Juni;;;;;;;;;;;;;;;;;;;;;;Juli;;;;;;;;;;;;;;;;;;;;;;August;;;;;;;;;;;;;;;;;;;;;;September;;;;;;;;;;;;;;;;;;;;;;Oktober;;;;;;;;;;;;;;;;;;;;;;November;;;;;;;;;;;;;;;;;;;;;;Dezember;;;;;;;;;;;;;;;;;;;;;
;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;;Wert der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Gewicht der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Menge der zum Absatz bestimmten Produktion;;Unternehmen mit zum Absatz bestimmter Produktion;;Gewicht der Gesamtproduktion;;Gewicht der Gesamtproduktion;;Menge der Gesamtproduktion;;Menge der Gesamtproduktion;;Unternehmen mit Produktion;
;;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;Tsd. EUR;Tsd. EUR;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl;t;t;kg;kg;Stück;Stück;jew. ME;jew. ME;Anzahl;Anzahl
2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A2120;Pharmazeutische Spezialitäten;2246101;e;-;;-;;-;;-;;202;e;-;;-;;-;;-;;-;;2095820;e;-;;-;;-;;-;;205;e;-;;-;;-;;-;;-;;2394387;e;-;;-;;-;;-;;208;e;-;;-;;-;;-;;-;;2085774;e;-;;-;;-;;-;;207;e;-;;-;;-;;-;;-;;2390221;e;-;;-;;-;;-;;208;e;-;;-;;-;;-;;-;;2165435;e;-;;-;;-;;-;;209;e;-;;-;;-;;-;;-;;2325958;e;-;;-;;-;;-;;207;e;-;;-;;-;;-;;-;;2026526;e;-;;-;;-;;-;;208;e;-;;-;;-;;-;;-;;2132197;e;-;;-;;-;;-;;209;e;-;;-;;-;;-;;-;;2417757;e;-;;-;;-;;-;;207;e;-;;-;;-;;-;;-;;2333680;e;-;;-;;-;;-;;208;e;-;;-;;-;;-;;-;;1831373;e;-;;-;;-;;-;;207;e;-;;-;;-;;-;;-;
2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A2120;Pharmazeutische Spezialitäten;2241425;e;-;;-;;-;;-;;207;e;-;;-;;-;;-;;-;;2380027;e;-;;-;;-;;-;;210;e;-;;-;;-;;-;;-;;2465805;e;-;;-;;-;;-;;209;e;-;;-;;-;;-;;-;;2359700;e;-;;-;;-;;-;;210;e;-;;-;;-;;-;;-;;2196194;e;-;;-;;-;;-;;210;e;-;;-;;-;;-;;-;;2351804;e;-;;-;;-;;-;;209;e;-;;-;;-;;-;;-;;2385215;e;-;;-;;-;;-;;208;e;-;;-;;-;;-;;-;;1901216;e;-;;-;;-;;-;;206;e;-;;-;;-;;-;;-;;2458246;e;-;;-;;-;;-;;213;e;-;;-;;-;;-;;-;;2324149;e;-;;-;;-;;-;;211;e;-;;-;;-;;-;;-;;2382062;e;-;;-;;-;;-;;213;e;-;;-;;-;;-;;-;;2102344;e;-;;-;;-;;-;;211;e;-;;-;;-;;-;;-;
2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GP19-A2120;Pharmazeutische Spezialitäten;2085464;e;-;;-;;-;;-;;210;e;-;;-;;-;;-;;-;;2225150;e;-;;-;;-;;-;;212;e;-;;-;;-;;-;;-;;2763264;e;-;;-;;-;;-;;215;e;-;;-;;-;;-;;-;;2220546;e;-;;-;;-;;-;;215;e;-;;-;;-;;-;;-;;2407971;e;-;;-;;-;;-;;214;e;-;;-;;-;;-;;-;;2603702;e;-;;-;;-;;-;;217;e;-;;-;;-;;-;;-;;2576625;e;-;;-;;-;;-;;216;e;-;;-;;-;;-;;-;;2337033;e;-;;-;;-;;-;;212;e;-;;-;;-;;-;;-;;2684949;e;-;;-;;-;;-;;212;e;-;;-;;-;;-;;-;;2513924;e;-;;-;;-;;-;;213;e;-;;-;;-;;-;;-;;2700726;e;-;;-;;-;;-;;212;e;-;;-;;-;;-;;-;;2345607;e;-;;-;;-;;-;;211;e;-;;-;;-;;-;;-;
2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
