Tabelle: 42111-0006
Beschäftigte und Umsatz der Betriebe im Verarbeitenden;;;;;;;;;;
Gewerbe: Deutschland, Monate, Wirtschaftszweige;;;;;;;;;;
(WZ2008 2-4-Steller Hierarchie);;;;;;;;;;
Monatsbericht im Verarbeitenden Gewerbe;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;
Betriebe;;;;;;;;;;;;;;;;;;;
;;Betriebe;;Beschäftigte;;Geleistete Arbeitsstunden;;Bruttolohn- und -gehaltssumme;;Umsatz;;Inlandsumsatz;;Auslandsumsatz;;Auslandsumsatz mit der Eurozone;;Auslandsumsatz mit dem sonstigen Ausland;
;;Anzahl;Anzahl;Anzahl;Anzahl;1000;1000;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR;Tsd. EUR
2005;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107919;e;13648;e;379975;e;2517069;e;1015656;e;1501412;e;628718;e;872694;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;102081;e;12875;e;357544;e;2420821;e;993442;e;1427379;e;598203;e;829176;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107755;e;13574;e;368534;e;2544636;e;1121494;e;1423143;e;585574;e;837568;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;101922;e;12835;e;347556;e;2444974;e;1086412;e;1358562;e;558965;e;799597;e
März;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107562;e;13955;e;397567;e;2737797;e;1224558;e;1513238;e;636700;e;876539;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;101750;e;13201;e;375782;e;2643575;e;1191148;e;1452426;e;610467;e;841959;e
April;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107173;e;14347;e;509609;e;2615657;e;1138104;e;1477553;e;621536;e;856017;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;101402;e;13560;e;469621;e;2537894;e;1105930;e;1431963;e;593982;e;837981;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107126;e;12919;e;434002;e;2540834;e;1092432;e;1448403;e;612853;e;835550;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;101411;e;12239;e;410727;e;2470221;e;1067943;e;1402278;e;586948;e;815330;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107354;e;14627;e;428295;e;2887259;e;1237242;e;1650017;e;695795;e;954222;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;101655;e;13872;e;405554;e;2814896;e;1209622;e;1605274;e;674346;e;930928;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;107416;e;13332;e;384104;e;2679409;e;1205372;e;1474037;e;624891;e;849146;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;101809;e;12679;e;362736;e;2588818;e;1165606;e;1423212;e;594805;e;828407;e
August;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;220;e;108092;e;13592;e;378586;e;2724189;e;1106904;e;1617285;e;650662;e;966623;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;199;e;102499;e;12908;e;357434;e;2663137;e;1087220;e;1575917;e;634444;e;941473;e
September;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;218;e;108946;e;14405;e;391518;e;2840177;e;1222598;e;1617579;e;650235;e;967344;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;197;e;103350;e;13689;e;370474;e;2781548;e;1201495;e;1580052;e;625988;e;954065;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;220;e;108460;e;13425;e;400387;e;2760516;e;1184906;e;1575610;e;647542;e;928067;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;199;e;102915;e;12762;e;377534;e;2702724;e;1162810;e;1539914;e;623032;e;916882;e
November;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;220;e;108430;e;14642;e;617609;e;2896313;e;1215703;e;1680610;e;690586;e;990024;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;199;e;103021;e;13923;e;585679;e;2834740;e;1194402;e;1640338;e;669517;e;970821;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;220;e;108397;e;12965;e;417748;e;2688181;e;1149473;e;1538708;e;654801;e;883907;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;199;e;103005;e;12392;e;392851;e;2630953;e;1134776;e;1496178;e;632567;e;863611;e
2006;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;111639;e;15074;e;407520;e;2903705;e;1220109;e;1683597;e;667140;e;1016457;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;211;e;105760;e;14270;e;383309;e;2822582;e;1202907;e;1619675;e;645425;e;974250;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;112038;e;14450;e;409908;e;2780780;e;1207097;e;1573683;e;639449;e;934235;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;211;e;106170;e;13668;e;385556;e;2704380;e;1187425;e;1516955;e;615211;e;901744;e
März;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;111870;e;16113;e;428938;e;3035380;e;1247464;e;1787916;e;772285;e;1015631;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;211;e;106139;e;15285;e;406811;e;2952992;e;1224718;e;1728273;e;748681;e;979592;e
April;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;111998;e;13205;e;551609;e;2732091;e;1151302;e;1580789;e;661041;e;919748;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;212;e;106303;e;12534;e;510271;e;2652651;e;1131338;e;1521314;e;640074;e;881239;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;112052;e;14898;e;465076;e;2899072;e;1183946;e;1715126;e;740227;e;974898;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;211;e;106391;e;14150;e;442087;e;2814339;e;1162242;e;1652097;e;716661;e;935436;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;112338;e;14153;e;454692;e;2818380;e;1119633;e;1698747;e;739201;e;959547;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;212;e;106688;e;13462;e;431038;e;2744633;e;1099651;e;1644982;e;719209;e;925774;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;112279;e;14093;e;446053;e;2797995;e;1161619;e;1636376;e;693637;e;942739;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;212;e;106807;e;13452;e;424663;e;2731301;e;1142945;e;1588356;e;679313;e;909044;e
August;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;113255;e;14499;e;391787;e;2829246;e;1129766;e;1699480;e;744093;e;955387;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;212;e;107776;e;13781;e;369712;e;2765529;e;1113269;e;1652260;e;728963;e;923297;e
September;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;233;e;113555;e;14469;e;398931;e;2952412;e;1181577;e;1770835;e;787963;e;982872;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;211;e;108075;e;13766;e;378238;e;2885941;e;1163330;e;1722611;e;764932;e;957679;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;113819;e;14657;e;393436;e;3017592;e;1237344;e;1780248;e;794964;e;985284;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;212;e;108236;e;13906;e;372351;e;2938416;e;1217078;e;1721338;e;770201;e;951137;e
November;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;113813;e;15485;e;640290;e;3389934;e;1267488;e;2122446;e;1001591;e;1120855;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;212;e;108200;e;14730;e;605474;e;3311917;e;1248148;e;2063769;e;980837;e;1082933;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;113372;e;12534;e;435257;e;2808045;e;1172278;e;1635767;e;704402;e;931365;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;211;e;107788;e;11930;e;413659;e;2740021;e;1154195;e;1585826;e;688289;e;897537;e
2007;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;238;e;114166;e;15551;e;410813;e;3087292;e;1181767;e;1905525;e;790223;e;1115302;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;219;e;108778;e;14807;e;389591;e;3000883;e;1163764;e;1837119;e;765447;e;1071672;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;237;e;114346;e;14576;e;401988;e;3066527;e;1198536;e;1867990;e;828107;e;1039883;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;218;e;108987;e;13889;e;381666;e;2995832;e;1180219;e;1815613;e;806157;e;1009456;e
März;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;237;e;114401;e;15750;e;448052;e;3289272;e;1309234;e;1980038;e;825349;e;1154689;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;218;e;109064;e;15006;e;426459;e;3208676;e;1289112;e;1919564;e;803600;e;1115964;e
April;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;238;e;114383;e;13744;e;561623;e;2888992;e;1149664;e;1739328;e;713143;e;1026185;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;218;e;108976;e;13086;e;520688;e;2813960;e;1132571;e;1681389;e;693018;e;988371;e
Mai;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;238;e;114488;e;14634;e;478477;e;3177201;e;1184427;e;1992774;e;804703;e;1188071;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;218;e;109100;e;13938;e;455159;e;3102731;e;1165990;e;1936741;e;783911;e;1152830;e
Juni;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;236;e;114146;e;14423;e;475860;e;3160923;e;1217248;e;1943675;e;800865;e;1142810;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;216;e;108756;e;13757;e;453494;e;3086263;e;1199482;e;1886781;e;780621;e;1106160;e
Juli;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;114368;e;14720;e;415651;e;3065654;e;1201014;e;1864640;e;760027;e;1104613;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;215;e;109061;e;14083;e;394231;e;2992972;e;1181450;e;1811522;e;743971;e;1067551;e
August;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;114743;e;14867;e;412895;e;3115504;e;1185143;e;1930361;e;760072;e;1170290;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;215;e;109428;e;14168;e;390648;e;3039750;e;1166316;e;1873434;e;740215;e;1133218;e
September;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;115338;e;14234;e;422088;e;3182245;e;1216539;e;1965705;e;869791;e;1095914;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;215;e;110005;e;13582;e;401306;e;3115331;e;1198156;e;1917174;e;852418;e;1064756;e
Oktober;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;114568;e;15417;e;420923;e;3310440;e;1287139;e;2023301;e;789127;e;1234174;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;215;e;109247;e;14711;e;400178;e;3233252;e;1267897;e;1965355;e;769739;e;1195616;e
November;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;235;e;114693;e;15553;e;661641;e;3319152;e;1287406;e;2031746;e;824192;e;1207554;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;215;e;109705;e;14844;e;630144;e;3236229;e;1266216;e;1970013;e;802855;e;1167158;e
Dezember;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;234;e;114633;e;12417;e;465555;e;2913731;e;1133377;e;1780354;e;731329;e;1049025;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;214;e;109300;e;11864;e;442786;e;2850701;e;1116665;e;1734036;e;716670;e;1017365;e
2008;;;;;;;;;;;;;;;;;;;
Januar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;227;e;113079;e;15573;e;428244;e;3109006;e;1262260;e;1846746;e;892916;e;953831;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;207;e;107666;e;14837;e;406566;e;3029803;e;1243566;e;1786237;e;873137;e;913100;e
Februar;;;;;;;;;;;;;;;;;;;
WZ08-21;Herstellung von pharmazeutischen Erzeugnissen;228;e;113220;e;15183;e;419662;e;3179011;e;1276988;e;1902023;e;881685;e;1020338;e
WZ08-212;  H.v. pharmazeut. Spezialitäten u. sonst. Erzeugn.;206;e;107705;e;14445;e;398272;e;3105077;e;1253619;e;1851457;e;863880;e;987577;e
März;;;;;;;;;;;;;;;;;;;
